Index,Incoming Calls,Answered Calls,Answer Rate,Abandoned Calls,Answer Speed (AVG),Talk Duration (AVG),Waiting Time (AVG),Service Level (20 Seconds),Status
1,217,204,94.01%,13,00:00:17,00:02:14,00:02:45,76.28%,No
2,200,182,91.00%,18,00:00:20,00:02:22,00:06:55,72.73%,No
3,216,198,91.67%,18,00:00:18,00:02:38,00:03:50,74.30%,Yes
4,155,145,93.55%,10,00:00:15,00:02:29,00:03:12,79.61%,No
5,37,37,100.00%,0,00:00:03,00:02:06,00:00:35,97.30%,No
6,315,304,96.51%,11,00:00:18,00:01:35,00:02:37,77.17%,Yes
7,252,244,96.83%,8,00:00:13,00:01:50,00:02:02,82.00%,No
8,213,205,96.24%,8,00:00:10,00:02:10,00:03:22,88.10%,No
9,219,200,91.32%,19,00:00:15,00:02:18,00:06:12,79.45%,Yes
10,371,348,93.80%,23,00:00:19,00:01:40,00:03:29,73.63%,No
11,166,164,98.80%,2,00:00:12,00:02:10,00:02:46,81.33%,Yes
12,32,32,100.00%,0,00:00:02,00:02:03,00:00:03,100.00%,No
13,231,222,96.10%,9,00:00:08,00:01:49,00:02:18,86.46%,No
14,205,197,96.10%,8,00:00:07,00:01:52,00:02:48,92.61%,Yes
15,338,313,92.60%,25,00:00:13,00:01:51,00:03:40,80.06%,No
16,180,174,96.67%,6,00:00:13,00:02:18,00:03:26,83.80%,No
17,226,211,93.36%,15,00:00:20,00:02:04,00:04:53,76.23%,No
18,226,212,93.81%,14,00:00:10,00:02:03,00:02:45,84.44%,No
19,45,44,97.78%,1,00:00:02,00:02:04,00:00:55,97.78%,No
20,218,194,88.99%,24,00:00:26,00:02:43,00:06:28,68.98%,No
21,187,174,93.05%,13,00:00:15,00:02:16,00:04:39,81.52%,No
22,191,184,96.34%,7,00:00:10,00:02:09,00:03:40,85.64%,Yes
23,188,174,92.55%,14,00:00:15,00:02:25,00:03:09,76.88%,Yes
24,154,148,96.10%,6,00:00:10,00:02:27,00:03:36,85.06%,Yes
25,166,150,90.36%,16,00:00:18,00:02:26,00:04:38,76.83%,No
26,58,57,98.28%,1,00:00:04,00:02:26,00:00:58,94.83%,Yes
27,160,153,95.63%,7,00:00:10,00:02:23,00:02:45,84.91%,Yes
28,86,79,91.86%,7,00:00:32,00:02:43,00:04:40,61.63%,No
29,180,170,94.44%,10,00:00:23,00:02:31,00:05:45,77.53%,No
30,210,192,91.43%,18,00:00:26,00:02:16,00:05:35,67.46%,No
31,163,157,96.32%,6,00:00:14,00:02:19,00:02:55,81.37%,No
32,143,140,97.90%,3,00:00:15,00:02:20,00:04:43,82.52%,No
33,57,55,96.49%,2,00:00:06,00:02:03,00:01:50,91.23%,No
34,179,172,96.09%,7,00:00:13,00:02:17,00:03:23,82.49%,Yes
35,194,184,94.85%,10,00:00:24,00:02:24,00:03:19,70.10%,Yes
36,201,196,97.51%,5,00:00:15,00:02:16,00:04:53,81.59%,Yes
37,218,189,86.70%,29,00:00:32,00:02:37,00:08:04,57.41%,Yes
38,194,190,97.94%,4,00:00:16,00:02:22,00:02:02,81.77%,Yes
39,227,219,96.48%,8,00:00:15,00:02:44,00:03:55,83.63%,No
40,52,52,100.00%,0,00:00:09,00:02:16,00:00:52,94.23%,Yes
41,385,370,96.10%,15,00:00:20,00:02:11,00:03:10,76.19%,Yes
42,137,130,94.89%,7,00:00:16,00:02:26,00:09:47,75.91%,No
43,254,252,99.21%,2,00:00:10,00:02:08,00:01:10,91.34%,Yes
44,211,206,97.63%,5,00:00:11,00:02:24,00:04:37,87.14%,No
45,282,279,98.94%,3,00:00:07,00:02:18,00:01:11,93.21%,No
46,262,260,99.24%,2,00:00:08,00:02:31,00:01:13,90.80%,Yes
47,65,63,96.92%,2,00:00:12,00:02:22,00:02:10,85.94%,Yes
48,325,323,99.38%,2,00:00:05,00:02:13,00:01:14,96.90%,No
49,235,230,97.87%,5,00:00:05,00:02:19,00:00:58,96.14%,Yes
50,215,212,98.60%,3,00:00:05,00:02:14,00:00:58,95.81%,Yes
51,85,85,100.00%,0,00:00:03,00:02:26,00:00:55,97.65%,Yes
52,195,195,100.00%,0,00:00:05,00:02:24,00:02:13,97.44%,Yes
53,188,182,96.81%,6,00:00:15,00:02:14,00:01:51,83.61%,No
54,58,58,100.00%,0,00:00:06,00:02:22,00:00:52,94.83%,Yes
55,251,247,98.41%,4,00:00:14,00:02:16,00:01:53,83.53%,Yes
56,181,178,98.34%,3,00:00:12,00:02:24,00:01:57,86.19%,No
57,228,213,93.42%,15,00:00:26,00:02:16,00:03:07,63.56%,No
